Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Effects of phenylhydrazine or phlebotomy on peripheral blood, bone marrow and erythropoietin in Wistar rats","Phenylhydrazine and phlebotomy cause anemia in rats, with reticulocyte counts being more sensitive in predicting erythroid changes.","K. Criswell, A. Sulkanen, A. Hochbaum, M. Bleavins, Criswek K AA.WL.COM",2000,65,"This study was conducted to characterize better the response of rats to blood loss and hemolysis and to incorporate automated methods into the routine evaluations of those responses. Serial phlebotomies of 1.5-2.0 ml of blood per day for 5 days, or intraperitoneal injection of 50 mg kg(-1) phenylhydrazine (PHZ) for 3 days, were used to cause anemia associated with blood loss or hemolysis, respectively. Maximum decreases in red blood counts were observed on Day 3 in PHZ-treated animals (68%) and Day 4 in blood-loss animals (35%). In the routine complete blood count (CBC), hemoglobin, hematocrit/hemoglobin ratio and erythrocyte indices could be used to discriminate between the two treatments. Free plasma hemoglobin in PHZ-treated animals resulted in marked elevations of mean corpuscular hemoglobin (MCH) and mean corpuscular hemoglobin concentration (MCHC) with a 2:1 hematocrit/hemoglobin ratio rather than the anticipated 3:1 ratio. Although both groups of animals had elevated white blood cell counts, PHZ-treated animals also had monocytosis and basophilia. Reticulocyte counts were more sensitive than erythropoietin (EPO) concentrations in predicting erythroid changes. Maximum mean reticulocyte values were ca. 24% in serially phlebotomized animals and >99% in PHZ-treated rats. Plasma EPO levels were 4-10-fold higher than EPO levels in urine, kidney or liver. Flow cytometric differentials of rat bone marrow using 2, 7-dichlorofluorescin successfully predicted erythroid hyperplasia in both experimental groups. Erythrocyte indices returned to normal within 14 days and the remaining CBC parameters were normal within 28 days for both treatment groups. Reticulocyte counts remained slightly elevated on Day 28, but were normal when assessed at Day 56 in blood-loss and PHZ-treated animals.

Copyright 2000 John Wiley & Sons, Ltd","non-randomized experimental study","Journal of Applied Toxicology","2","10.1002/(sici)1099-1263(200001/02)20:1<25::aid-jat624>3.0.co;2-7","https://consensus.app/papers/effects-of-phenylhydrazine-or-phlebotomy-on-peripheral-criswell-sulkanen/99eb09396afe5b5a9d07f73fda1681ba/"
"Antioxidative and Antianaemic Potentials of Aqueous Leaf Extract of Lowveld Bead String (Alchornea laxiflora) in Phenylhydrazine-induced Anaemic Wistar Rats and Its Phytochemical Constituents","The aqueous leaf extract of Alchornea laxiflora shows antioxidative and antianaemic properties, likely due to its phytochemical constituents.","Oluwasola Michael Awolusi, A. O. Ojelabi, O. Otenaike, O. Ibrahim, Bolatito Ruth Ayotunde, Christopher Opeoluwa Awonubi, F. Bamisaye",2025,0,"Background: Anaemia, a public health concern, is characterized by a decrease in red blood cell count, hemoglobin, and packed cell volume. Phenylhydrazine, a toxic chemical, is commonly used to induce anaemia in experimental models. This study investigated the antioxidative and antianaemic effects of aqueous leaf extract of Alchornea laxiflora in phenylhydrazine-induced anaemic wistar rats.
Method: Qualitative phytochemical screening and HPLC analysis of the extract were carried out. Thirty female wistar rats weighing between 166-169 g were randomly divided into six (6) groups of five animals each. Groups 1 and 2 served as negative and positive control respectively and treated with 1 mL/kg body weight of distilled water only. Groups 2 to 6 were induced with anaemia by intraperitoneal injection of 36 µL/kg body weight of phenylhydrazine (PHZ). Groups 3 to 5 were treated with 500, 1000 and 1500 mg/kg body weight of aqueous leaf extract of A. laxiflora respectively while group 6 was treated with 2 mg/kg body weight of folic acid. The experiment lasted for 14 days after which the rats were sacrificed and their blood collected for hematological parameters. Antioxidative effects of the extract was also investigated.
Results: The results showed that the aqueous leaf extract of Alchornea laxiflora is rich in phytochemicals. The extract demonstrated antioxidative properties, as evidenced in its reductive effects on oxidative stress. It also revealed antianaemic effect where it significantly improved hematological parameters such as packed cell volume (PCV), haemoglobin (HB), mean corpuscular haemoglobin concentration (MCHC), mean corpuscular volume (MCV), and red blood cell (RBC).
Conclusion: This study confirmed the presence of various phytochemicals in the aqueous leaf extract of Alchornea laxiflora. The extract demonstrated antioxidative and antianaemic properties. The extract's protective effects against anaemia are likely attributed to its phytochemical constituents.","","The Nigerian Journal of Pharmacy","","10.51412/psnnjp.2025.37","https://consensus.app/papers/antioxidative-and-antianaemic-potentials-of-aqueous-leaf-awolusi-ojelabi/a2da7a7398585ac0b4d23ed5e356e007/"
"Mechanism of Haematotoxicity Induced by Phenylhydrazine: a Review","Phenylhydrazine (PHZ) causes anaemia due to peroxidation of RBC membrane lipids, potentially due to its autoxidation and interaction with membrane lipids and oxygen radicals.","B. Shwetha, H. S. Siddalingaprasad, S. Swamy, N. Nagalakshmi, M. Hariprasad",2019,5,"This work was carried out to show the effects of phenylhydrazine (PHZ) induced anaemic condition. Anaemic condition is defined as reduction in red blood cells (RBC) than normal number of red blood cells. The anti-anaemic activity can be studied using the changes in haematological parameters (PCV, RBC a Haemoglobin) influenced by PHZ [(40mg/kg p.o.)] in rats. PHZ, a potent chemical that causes different effects on different tissues at several levels. Administration of PHZ causes haemolytic anaemia, genotoxic effects and rose in iron absorption in spleen, liver and duodenum a causes change in iron metabolism. PHZ acts by activating immune response which triggers phagocytosis and also interfere with the binding of erythropoietin (EPO) receptors and further JAK-STAT pathway. PHZ also causes genotoxic effect by forming single strand DNA damage. In view of lipid peroxidation along with the formation of Thiobarbituric acid (TBA)-reactive malonyldialdehyde, it is recommend that PHZ induces anaemia as an outcome of peroxidation ofn RBC membrane lipids and this effect may be a upshot of the autoxidation of the drug and the interaction of membrane lipids and oxygen radicals","literature review","","","10.18231/j.joapr.2019.v.7.i.4.001","https://consensus.app/papers/mechanism-of-haematotoxicity-induced-by-phenylhydrazine-shwetha-siddalingaprasad/740f6a2faf545964b33d38d82fdd379d/"
"Evaluation of Haemopocitic Activity of Crotalaria juncea Seed Powder Suspension in Phenylhydrazine Induced Haemolytic Anaemia in Rats","Crotalaria juncea seed powder suspension significantly improves blood parameters and restores kidney, liver, and heart tissue pathology in rats with phenylhydrazine-induced haemolytic anemia, offering a potential anti-anemic treatment with fewer side effects.","Lalhriatpuii Lalhriatpuii, Y. Jyothi, Deepsika Chhetri, Syed Sohaila, G. Rachana",2024,0,"Objectives: To investigate the anti-anaemic activity of Crotalaria juncea seed powder suspension against phenylhydrazine induced haemolytic anaemia in rats. Methods: The seeds of Crotalaria juncea was subjected to preliminary phytochemical analysis. Anemia was induced by administering phenylhydrazine (40 mg/kg, i.p.) for 2 consecutive days. Antianemic activity of Crotalaria juncea was investigated at the dose of 200 mg/kg and 400 mg/kg, once daily for 21 days by estimating blood parameters and pathological changes in kidney, liver, heart, spleen, and heart. Findings: Crotalaria juncea was showed the presence of alkaloids, carbohydrates, tannins, flavonoids, and phenolic compounds. Iron content was found to be 5 mg/100 ml in Crotalaria juncea. Anemia induction by phenylhydrazine injections to rats caused significant decrease in red blood cells, hemoglobin, and packed cell volume. These decreased levels of RBCs, hemoglobin and PCV in blood was significantly improved by the treatment with Crotalaria juncea (p<0.05). A significant normalized clotting time equivalent to normal control groups was observed in group treated with C. juncea. Furthermore, Crotalaria juncea restored pathological changes in kidney, liver, and heart tissues near to normal. Novelty: The C. juncea can be used as anti-anemic treatment with fewer side effects. Keywords: Anaemia, Crotalaria juncea, Phenylhydrazine, Haemoglobin, Anti-anaemic activity","non-randomized experimental study","Indian Journal Of Science And Technology","","10.17485/ijst/v16i47.2989","https://consensus.app/papers/evaluation-of-haemopocitic-activity-of-crotalaria-juncea-lalhriatpuii-jyothi/5d0df5a85cf15ccf872b5e8864c72de8/"
"AMELIORATIVE ROLE OF FOENICULUM VULGARE SEED OIL ON PHYSIOLOGICAL DISORDERS ACCOMPANIED PHENYLHYDRAZINE-INDUCED TOXICITY IN MALE ALBINO RATS","FSO effectively reduces oxidative stress, haematological disturbances, liver and kidney panel abnormalities, and erythropoietin levels induced by PhH treatment in male rats.","Marwa A. E. Abd El-Maksoud, Aziza A. M. El-Shafey, M. Seliem, Dina. I. Nasr, Doaa S. Ibrahim",2025,0,"Phenylhydrazine (PhH) is an aromatic organic compound with broad applications in various fields, including chemistry, pharmaceuticals, and agriculture. Additionally, it serves as a model for studying toxicity in biological and medical research. This study aims to explore the potential of Foeniculum vulgare seed oil (FSO) as a natural remedy to mitigate the harmful effects of PhH toxicity. The experiment involved five groups of male rats: the control group was administered distilled water for 14 days; the FSO group received a daily oral dose of 0.5 ml/kg b.w. FSO for 14 days; the PhH group was intraperitoneally injected with 60 mg/kg b.w. PhH over three consecutive days; the FSO + PhH group was treated with FSO orally for 11 days before being injected with PhH; and the PhH + FSO group was given PhH injections for three days, followed by daily oral doses of FSO for 11 days. Blood samples were taken from the rats on day 15 to analyze haematological and biochemical levels. Rats treated with PhH exhibited elevated levels of malondialdehyde, leukocytes, liver panel, kidney panel, and erythropoietin, while catalase, superoxide dismutase, erythrocytes, haematocrit, haemoglobin, and thrombocytes levels were reduced relative to the control group. Administration of FSO to PhH-treated rats improved oxidative stress, haematological parameters, liver panel, kidney panel, and erythropoietin levels. In summary, FSO was effective in reducing the disturbances in oxidative stress, haematological parameters, liver and kidney panels, and erythropoietin levels induced by PhH treatment in rats.","rct","Assiut Veterinary Medical Journal","4","10.21608/avmj.2025.356157.1569","https://consensus.app/papers/ameliorative-role-of-foeniculum-vulgare-seed-oil-on-el-maksoud-el-shafey/a9ddd122ebe655149f9dc67446178fb2/"
"Evaluation of Anti-Anemic and Hemopoietic Effects of Drynaria quercifolia Rhizome Extract in Phenylhydrazine Induced Anemic Wistar Albino Rats","Drynaria quercifolia rhizome extract effectively reduces anemia and enhances antioxidant defense in erythrocytes in a phenylhydrazine-induced anemia model.","G. D, I. R, Gopalakrishnan P, V. R",2024,0,"This study aims to evaluate the in -vivo anti-anemic activity and antioxidant potential of the ethanolic rhizome extract of Drynaria quercifolia in a phenylhydrazine-induced anemia model using male Wistar albino rats. The rats were divided into five groups (n= 6). Group I (normal control) received regular feed and water. Anemia was induced in all groups except Group I through intraperitoneal administration of phenylhydrazine (40 mg/kg for 2 days). Group II (negative control) received phenylhydrazine only. Group III (positive control) received hematinic syrup (0.68 ml/kg). Group IV and V received the test extract at 200 mg/kg and 400 mg/kg, respectively, for 12 days. Hematological and serum biochemical parameters were evaluated to assess the anti-anemic effect, while enzymatic antioxidant potential was measured by serum level of superoxide dismutase and glutathione peroxidase. Results showed that treatment with EEDQ significantly improved hematological parameters, serum biochemical parameters and reversed oxidative stress markers, indicating its efficacy in reducing anemia and enhancing antioxidant defense in erythrocytes.","rct","International Journal of Pharmacy and Pharmaceutical Research","","10.25166/ijppr.2024.30.5.42","https://consensus.app/papers/evaluation-of-antianemic-and-hemopoietic-effects-of-d-r/8c1976f838be5080bbb89bf11c32c3cd/"
"Biochemical Studies on Phenylhydrazine Induced Experimental Anemic Albino Rats","Phenylhydrazine induced anemic albino rats showed increased oxidative stress and decreased antioxidants compared to healthy albino rats.","N. Madhikarmi, K. Murthy",2015,7,"INTRODUCTION: The present study evaluated the modulatory effects of diphenylhydrazine induced experimental wistar albino rats and also to assess various biochemical parameters in whole blood and red blood cell lysate. MATERIALAND METHODS: Twenty male albino rats weighing 180-200 gm were selected for the study and divided in two groups; ten phenylhydrazine dihydrochloride (PHZ) induced anemia and ten healthy control. Thiobarbituric acid reactive substances and lipid hydroperoxide were measured as lipid peroxidation parameter. The antioxidant vitamins A, C and E and enzymatic antioxidants; catalase, glutathione peroxidase and superoxide dismutase were also assessed. RESULTS: Phenylhydrazine induced anemic rats showed a significant increase in the lipid peroxidation and decrease in the antioxidants as compared to healthy rats. CONCLUSION: The study concludes that phenylhydrazine induced experimental anemic albino rats showed increased oxidative stress than compared with healthy albino rats. Journal of Universal College of Medical Sciences Vol. 3, No. 1, 2015: 41-47","non-randomized experimental study","Journal of Universal College of Medical Sciences","","10.3126/jucms.v3i1.13258","https://consensus.app/papers/biochemical-studies-on-phenylhydrazine-induced-madhikarmi-murthy/8db8411392175bc28712ef485a071ce1/"
"Pharmacological Study of Anti-Anemic Activity of Ethanol Leaf Extract of a Spice Plant (Piper guineense) on Phenylhydrazine-induced Anemia in Wistar Rats","Piper guineense leaf extract, particularly at medium and high doses, shows anti-anemic activity in wistar rats, reducing blood levels of red blood cells, hemoglobin, and hematocrit.","Tharcitus Chilaka Onwudiwe, Ngozi Ukamaka Madubuogwu, E. O. Ogbuagu, B. Azudialu, O.G. Dike",2026,0,"Anemia is a disease condition associated with reduced blood levels of red blood cells, hemoglobin, hematocrit and alteration other hematological indices, leading to decreased ability to transport oxygen in the body. It can be precipitated by many risk factors that may occur independently or concurrently. Tradomedicinal practice claims to treat anemia by use of herbal plants which are readily available, accessible and affordable when compared to pharmaceutical drugs. This work therefore sought to pharmacologically study the anti-anemic activity of a spice plant (Piper guineense) on phenylhydrazine-induced anemia in wistar rats. This was done by randomizing thirty adult male wistar rats into six groups (1-6) of five animals per group, measuring their hematological indices before (at day 0) and after (at day 7, 14 and 21) induction of anemia with phenylhydrazine (40 mg/kg, i.p.). Groups 1, 2 and 3 respectively served as normal, negative and positive control, while groups 4, 5 and 6 received Piper guineense leaf extract at 125, 250 and 500 mg/kg respectively. The results of this study shows that Piper guineense leaf extract particularly at medium and high doses, and with respect to negative control, ameliorates phenylhydrazine-induced alterations on hematological indices, by producing significant (p<0.05) lesser percentage decrease in blood levels red blood cells, hemoglobin and hematocrit, as well as exhibiting significant (p<0.05) lesser percentage increase in blood levels of other hematological indices analysed in this study. The results also indicate that Piper guineense leaf extract when compared to positive control, produces insignificant (p>0.05) activity, particularly at days 14 and 21. This study provides a robust scientific validation of tradomedicinal claim on Piper guineense leaf as anti-anemic agent, therefore recommends further studies that will unveil the bioactive principle(s) and the molecular mechanism/pathway responsible for the observed activity.","","EAS Journal of Pharmacy and Pharmacology","","10.36349/easjpp.2026.v08i01.003","https://consensus.app/papers/pharmacological-study-of-antianemic-activity-of-ethanol-onwudiwe-madubuogwu/37b512ab16d45cc386e70d1e9690ae28/"
"Solanum macrocarpon Leaf Ameliorates Phenylhydrazine-induced Hemolytic Anemia, Hepatotoxicity and Oxidative Stress in Wistar Rats","Solanum macrocarpon leaf extract effectively reduces Phenylhydrazine-induced hemolytic anemia, liver toxicity, oxidative stress, and inflammation in rats through its antioxidant and anti-inflammatory properties.","Usunomena, Ambrose, Rajamani",2025,1,"Several epidemiological studies have reported that the consumption and usage of plant food with bioactive content is associated with reduced incidence of pathologies. This study investigated the protective role of the aqueous leaf extract of&nbsp;Solanum macrocarpon&nbsp;against hemolytic anemia and liver toxicity caused by Phenylhydrazine in rats. The study was comprised of five groups (six albino rats each). Group 1 was normal control orally given normal saline once daily. Group II was an anemic group while Group III was orally given a daily dose of 300mg/kg Solanum macrocarpon&nbsp;aqueous leaf extract for 14 days. Group IV was induced with anemia and thereafter orally treated with 300mg/kg Solanum macrocarpon&nbsp;aqueous leaf extract for 14 days while Group V was induced with anemia and thereafter treated with 100mg/kg Ascorbic acid orally once daily for 14 days. Group II, IV, and V were intraperitoneally once daily induced hemolytic anemia with 50mg/kg Phenylhydrazine for three days consecutively. All rats were sacrificed on day 15. The observed significant reduction (p&lt;0.05) in red blood cell (RBC), hemoglobin (Hb), packed cell volume (PCV), and Platelet count following Phenylhydrazine-induced anemia were attenuated after Solanum macrocarpon administration. Phenylhydrazine-induced anemia also increased significantly (p&lt;0.05) aspartate transaminase (AST), alanine transaminase (ALT), alkaline phosphatase (ALP), lactate dehydrogenase (LDH), malondialdehyde (MDA), nitric oxide (NO) content with a concomitant decrease in catalase (CAT), superoxide dismutase (SOD), reduced glutathione (GSH), glutathione peroxidase (GPx), all mitigated and reversed toward normalcy by Solanum macrocarpon&nbsp;leaf and Ascorbic acid corroborated by hepatic histopathological analysis. Thus, Solanum macrocarpon&nbsp;comparing favorably with ascorbic acid administration attenuated Phenylhydrazine-induced hemolytic anemia, toxicity, oxidative stress, and inflammation via mechanisms that involved its antioxidant and anti-inflammatory properties.","rct","Tropical Journal of Natural Product Research","3","10.26538/tjnpr/v9i6.44","https://consensus.app/papers/solanum-macrocarpon-leaf-ameliorates-usunomena-ambrose/367c564ed4fe541e9480d32dde468334/"
"BIOCHEM ICAL STUDIES ON PHENYLHYDRAZINE INDUCED EXPERIMENTAL ANEM IC ALBINO RATS BIOCHE MICAL STUDIES ON PHENYL HYD RAZ INE INDUCE D EXPERIMENTAL ANE MIC ALB INO RATS","Phenylhydrazine-induced anemia in albino rats leads to increased oxidative stress and decreased antioxidants compared to healthy rats.","Kora Rudraiah, S. Murthy",2015,0,"INTRODUCTION: The present study evaluated the modulatory effects of diphenylhydrazine induced experimental wistar albino rats and also to assess various biochemical parameters in whole blood and red blood cell lysate. MA TERIAL AND METHODS: Twenty male albino rats weighing 180-200 gm were selected for the study and divided in two groups; ten phenylhydrazine dihydrochloride (PHZ) induced anemia and ten healthy control. Thiobarbituric acid reactive substances and lipid hydroperoxide were measured as lipid peroxidation parameter. The antioxidant vitamins A, C and E and enzymatic antioxidants; catalase, glutathione peroxidase and superoxide dismutase were also assessed. RESUL TS: Phenylhydrazine induced anemic rats showed a significant increase in the lipid peroxidation and decrease in the antioxidants as compared to healthy rats. CONCLUSION: The study concludes that phenylhydrazine induced experimental anemic albino rats showed increased oxidative stress than compared with healthy albino rats.","","","","","https://consensus.app/papers/biochem-ical-studies-on-phenylhydrazine-induced-rudraiah-murthy/8de5098f5cdf5bbbb763ac69dbf1fb5c/"
"Protective effects of Helicteres isora L. fruit extract on phenylhydrazine-induced hemolytic anemia in rats","The aqueous fruit extract of Helicteres isora L. significantly protects against phenylhydrazine-induced hemolytic anemia in rats, improving blood parameters and preventing pathological changes.","Vaishnavi Gomase, Prajakta H. Murudkar, C. S. Mote, Akshay M. Baheti, Amol A. Tagalpallewar, Anil T. Pawar",2024,1,"","non-randomized experimental study","Pharmacological Research - Natural Products","1","10.1016/j.prenap.2024.100021","https://consensus.app/papers/protective-effects-of-helicteres-isora-l-fruit-extract-on-gomase-murudkar/2c6783d900bc59679e959981e5e84cc8/"
"Effect of Feeding with Spirulina and Folic Acid on Some Biochemical Parameters and Histological of Laboratory Rats (Albino Rats) with Induced Anemia","Feeding rats with spirulina and folic acid improves liver enzymes and blood lipid profile, reducing anemia-induced liver damage.","Zyad Tariq Hussein, Sami Khudhur Saeed",2025,0,"The current study aims to evaluate the preventive effects of extracts of spirulina and folic acid in treating phenylhydrazone-induced anemia and to study some biochemical and histological alterations on blood parameters, blood lipid profile, The liver and renal functioning has been used and divided into five groups of 5 animals per group at random in plastic cages. The groups were as follows. The first group was the health control group fed the standard diet. The second group was the anemia-induced group, which was injected subcutaneously with Phenylhydrazine (PHZ) (20 mg/kg body weight for 48 hours). The third group received spirulina extract at a dosage of (100 mg/ml). The fourth group received folic acid extract at a dosage of (40 mg/ml). The fifth group received extracts of spirulina and folic acid at a combined concentration of (20 mg/ml) of folic acid and (50 mg/ml) of spirulina. The dose was administered given orally. The study found that PHZ) C6H5NHNH2(injection led to a substantial decrease (P ≤ 0.05) compared to the healthy control group in liver enzymes ALT, AST, and affected the blood lipid profile, as the values ​​of total TC, TG, LDL, and VLDL levels all rose, but HDL levels decreased as compared to the values in the healthy control group. Dosing the rats previously injected with PHZ with spirulina and folic acid resulted in a beneficial effect and improvement in liver enzymes, as the values of ALT and AST reduced while the blood lipid profile improved.","rct","Tikrit Journal of Pure Science","","10.25130/tjps.v30i1.1698","https://consensus.app/papers/effect-of-feeding-with-spirulina-and-folic-acid-on-some-hussein-saeed/b2a5df651a305ff789290f556187f1b3/"
"Ameliorative Potential of Fresh Clam Extract (Egeria radiata) on some Antioxidant and Biochemical Parameters of Wistar Rats Exposed to Phenylhydrazine-Induced Toxicity","Fresh clam extract (Egeria radiata) can increase HDL and liver function markers in rats exposed to phenylhydrazine-induced toxicity, promoting its consumption.","A. N. Archibong, V. Oka, Atim I. Okpoene, S. U. Uquetan, Sonnie E. Oyama, Abah V. Joseph, Clement O. Okoi",2026,0,"Phenylhydrazine (PHZ) causes poisoning in different cells at different concentrations by increasing reactive oxygen species (ROS) thereby causing damage to red blood cells, which can trigger anemia. This research aimed at studying the effect of Clam extract on some antioxidants and biochemical parameters of wister rats exposed to Phenylhydrazine-induce toxicity. Forty (40) male wistar rats (180 to 240g) were used for this research. Group 1 served as the Control, Group 2 received 30g/100g fresh clam extract orally. Group 3 received phenylhydrazine induction at a dose of 40mg/kg body weight intraperitoneally. Group 4 received extract-30g/100g and Phenylhydrazine-40mg/kg. At the end of the treatment period, the animals were subjected to ketamine anesthesia and blood samples were collected via cardiac puncture for analysis. The results showed a decline (P < 0.05) in antioxidant markers, liver enzymes, K+, HCO3-, Fe2+, and Ca2+ and HDL-c in the PHZ group compared with that of the control however, this was reversed following the treatment with fresh clam extract. Also, Na+, Cl- , TC, TG, LDL-c and vLDL-c concentrations were increased (P<0.05) in PHZ compared with that of the control group but this was reversed following the administration of fresh clam extract. In conclusion, fresh clam extract (Egeria radiata) was able to increase HDL and markers of liver function through its omega-3 and antioxidant activities, which were reduced due to PHZ administration. This shows that Egeria radiate possesses antioxidant and antiatherogenic ability therefore, its consumption should be encouraged.","rct","Tropical Journal of Natural Product Research","3","10.26538/tjnpr/v10i4.3","https://consensus.app/papers/ameliorative-potential-of-fresh-clam-extract-egeria-archibong-oka/c9eaf544586a5b42a7ee97747d2f1821/"
"THE ROLE OF ALOE VERA ON HAEMATOLOGICAL PARAMETERS FOLLOWING PHENYLHYDRAZINE (PHZ)-INDUCED ANAEMIA IN WISTAR RATS","Aloe vera treatment shows potent ameliorative effects on haematological parameters in phenylhydrazine-induced anaemic rats, increasing Hb, RBC count, and total white cell count.","E. J. Ani, A. Ime, A. L. Udefa, Udeme Okon",2018,1,"The effect of Aloe vera on some haematological indices in phenylhydrazine-induced anaemic rats was studied. Fifteen female wistar rats weighing 180-220grams were used for this study. They were randomly divided into three groups (n=5) thus: Group A: Control ; Group B: Induced with anaemia using PHZ at a dose of 0.5ml/100g body weight on days 1, 3, 5 and 7. Group C received the same treatment as B and additionally treated daily with aloe vera gel administered orally at a dose of 0.6ml/kg b.w., one week after induction of anaemia. All groups received normal rat chow and water ad libitum. The feeding and treatment lasted for 28days and thereafter, the rats were subjected to sacrifice following standard methods and blood collected via cardiac puncture into EDTA sample bottles for analysis. Aloe vera treated group showed a significant increase in the mean food and water intake compared to B. A marked reduction in body weight was seen in group C compared to control while aloe vera treated group showed a significant increase in body weight compared to group B. A marked decrease in Hb, RBC count was seen in group B compared to control. Conversely, Aloe vera treated group had a significant increase in Hb and RBC count when compared to group B. Total white cell count was significantly increased in group B compared to control and Aloe vera treated groups. This trend was also observed for platelet count. From these results, Aloe vera treatment showed potent ameliorative effect following anaemia.","rct","","","","https://consensus.app/papers/the-role-of-aloe-vera-on-haematological-parameters-ani-ime/89b2983efead56109daf7d542af041c0/"
"Protective Effect of Cynara scolymus L. on Blood Biochemical Parameters and Liver Histopathological Changes in Phenylhydrazine-Induced Hemolytic Anemia in Rats","Hydroethanolic Extract of Cynara scolymus (HECS) has hepatoprotective effects against PHZ-induced toxicity in rats, potentially due to its antioxidative activity.","Milad Allahmoradi, S. Alimohammadi, Hadi Cheraghi",2020,12,"Background: Artichoke (Cynara scolymus) possesses bioactive components with antioxidant 
effects. This plant has been widely used in traditional medicine. 
Objectives: The current study aimed to examine the protective activity of Hydroethanolic 
Extract of Cynara scolymus (HECS) against experimentally-induced hemolytic anemia in rats. 
Methods: Hemolytic anemia was induced by intraperitoneal injection of Phenylhydrazine 
(PHZ) 40 mg/kg for 2 days. PHZ induces oxidative stress and reactive oxygen species formation, 
which causes hemolytic anemia. Thirty male Wistar rats were divided into 5 groups (n=6 for 
each group). Group 1 (normal control) was injected with normal saline. Group 2 (anemic 
control) received only PHZ. Groups 3 to 5 were injected with 100, 200, 400 mg/kg of the 
HECS by gavage, respectively, daily from day 2 to day 15 after PHZ administration. At the 
end of the treatment period, their blood and liver samples were collected for biochemical and 
histopathological analysis. 
Results: The results indicated that serum Alkaline Phosphatase (ALP), alanine aminotransferase 
(ALT), Aspartate Aminotransferase (AST), and Lactate Dehydrogenase (LDH) levels in the PHZ 
(anemic) group were significantly higher than those in the control group (P<0.05). A significant 
decrease in serum liver enzymes was determined in rats treated with HECS at different doses 
compared with the untreated anemic rats (P<0.05). Also, HECS significantly attenuated body 
weight loss in the PHZ group (P<0.05). Besides, based on the histopathological evaluation, 
HECS improved disarrangements of the liver parenchyma due to PHZ-induced hepatotoxicity. 
Conclusion: HECS has hepatoprotective effects against PHZ-induced toxicity presumably by 
its antioxidative activity.","rct","Pharmaceutical and Biomedical Research","","10.18502/pbr.v5i4.2397","https://consensus.app/papers/protective-effect-of-cynara-scolymus-l-on-blood-allahmoradi-alimohammadi/af68b45140765144bdd4d58f502d14f6/"
"Effect of Combined Methanol Extract of Mucuna Poggei and Justicia carnea Leaves on Hematological Indices and Biochemical Indices of Phenylhydrazine Induced Anaemic Albino Rats","Combined methanol extract of Mucuna poggei and Justicia carnea leaves significantly improves anaemia in albino rats by restoring hepatic and renal function biomarkers.","Ikenna Nnaoma, C. Unegbu, C. Okeke, Uchenna Enete",2023,0,"All parts of Mucuna poggei and Justicia carnea have been known to possess valuable medicinal properties. This calls for the need to determine the effect of combined methanol extract of mucuna poggei and justicia carnea leaves on hematological and biochemical indices of phenylhydrazine induced anaemic albino rats. The study was done using 60 male albino rats. The rats were divided into five groups of five (5) rats each. Group 1 (non-anaemic) was administered water and feed only which served as Normal control. Group 2 was administered Phenylhydrazine only which served as negative control. Group 3 through 5 were Phenylhydrazine induced anaemia treated with combined extract (1:1) at 200 mg/kg, 400 mg/kg and 600 mg/kg respectively. The results showed a significant (p<0.05) increase in Hepatic and renal biomarkers (ALT, AST, ALP, Urea, Creatinine) of the anaemic (negative) control. The combined extract significantly restored the alteration through significant (p<0.05) dose dependent decrease in the assayed hepatic and renal function biomarkers. The hematological indices of the treated rats were maintained compared to the anaemic control. The study showed great potential of combined methanol extract of Mucuna poggei and Justicia carnea leaves capable of ameliorating anaemia.","rct","Saudi Journal of Medical and Pharmaceutical Sciences","","10.36348/sjmps.2023.v09i09.006","https://consensus.app/papers/effect-of-combined-methanol-extract-of-mucuna-poggei-and-nnaoma-unegbu/b40a5b7268fa5ced82339dc87147bddd/"
